id_cliente;nombre;edad;ingreso_mensual;monto_compra;cantidad_pedidos;ciudad;plan;activo;fecha_registro;pais;comentario
CL-00197;Cliente 197;54.0;₡1.028.842,17;171922.64;2;Heredia;Basico;Si;31/10/2023;Costa Rica;
CL-00246;Cliente 246;36.0;₡1.383.707,87;142367.54;3;San Jose;Premium;Si;14/01/2023;Costa Rica;
CL-00215;Cliente 215;63.0;₡425.516,25;93521.3;6;San Jose;Premium;Si;04/06/2023;Costa Rica;
CL-00239;Cliente 239;66.0;₡873.849,02;129209.38;7;  Alajuela ;Premium;Si;16/04/2023;Costa Rica;
CL-00106;Cliente 106;32.0;₡879.105,87;41442.65;3;  Puntarenas ;-;Si;31/08/2023;Costa Rica;
CL-00281;Cliente 281;34.0;₡1.054.968,62;164198.23;1;Puntarenas;Basico;Si;05/01/2025;Costa Rica;
CL-00297;Cliente 297;49.0;₡515.449,70;227277.85;5;  Heredia ;Empresarial;Si;10/05/2023;Costa Rica;
CL-00039;Cliente 39;27.0;₡641.022,70;240467.83;5;San Jose;Empresarial;Si;20/09/2024;Costa Rica;
CL-00110;Cliente 110;53.0;₡745.838,75;73610.92;2;Cartago;Basico;Si;20/08/2024;Costa Rica;
CL-00155;Cliente 155;60.0;₡319.368,49;77473.1;4;Cartago;Basico;No;10/11/2024;Costa Rica;
CL-00048;Cliente 48;26.0;₡810.617,30;91186.22;8;Cartago;Basico;No;14/09/2024;Costa Rica;
CL-00011;Cliente 11;41.0;₡264.406,57;191979.56;7;  Cartago ;Premium;Si;12/01/2023;Costa Rica;
CL-00284;Cliente 284;60.0;₡1.243.678,53;200714.77;3;Cartago;Premium;Si;03/02/2023;Costa Rica;
CL-00198;Cliente 198;;₡833.742,94;35236.82;1;San Jose;Basico;No;28/08/2024;Costa Rica;
CL-00176;Cliente 176;39.0;₡927.391,85;125012.51;3;San Jose;Basico;Si;04/01/2023;Costa Rica;
CL-00078;Cliente 78;;₡1.086.551,37;155943.6;5;Puntarenas;Premium;Si;08/12/2023;Costa Rica;
CL-00285;Cliente 285;50.0;₡600.985,16;158340.75;3;Cartago;Basico;Si;06/01/2024;Costa Rica;
CL-00099;Cliente 99;47.0;₡1.054.848,68;98363.8;5;Heredia;Basico;Si;22/01/2023;Costa Rica;
CL-00214;Cliente 214;51.0;₡530.685,01;67919.82;3;Alajuela;Basico;Si;09/08/2023;Costa Rica;
CL-00017;Cliente 17;26.0;₡476.944,75;106976.13;2;Alajuela;Basico;Si;01/07/2023;Costa Rica;
CL-00190;Cliente 190;74.0;₡666.972,99;76223.44;3;Heredia;Premium;Si;13/12/2023;Costa Rica;
CL-00122;Cliente 122;57.0;₡429.572,60;48404.78;7;Alajuela;Basico;Si;20/12/2024;Costa Rica;
CL-00067;Cliente 67;46.0;₡234.209,35;61083.56;7;Alajuela;Basico;Si;18/07/2023;Costa Rica;revisar
CL-00081;Cliente 81;51.0;₡716.906,85;77320.3;6;  San Jose ;Basico;No;14/05/2023;Costa Rica;
CL-00135;Cliente 135;62.0;₡320.367,80;6209.49;5;  Cartago ;Basico;No;23/02/2024;Costa Rica;
CL-00270;Cliente 270;66.0;₡996.946,64;190764.95;5;  Puntarenas ;Premium;Si;14/09/2023;Costa Rica;
CL-00047;Cliente 47;21.0;₡567.916,27;248985.28;6;Alajuela;Empresarial;Si;27/01/2023;Costa Rica;
CL-00263;Cliente 263;25.0;₡897.807,25;65679.73;5;Cartago;Basico;Si;19/04/2023;Costa Rica;
CL-00299;Cliente 299;46.0;₡409.477,47;94085.58;9;Cartago;Premium;Si;20/02/2024;Costa Rica;
CL-00200;Cliente 200;;₡1.201.300,30;80751.57;1;San Jose;Premium;Si;23/12/2023;Costa Rica;
CL-00267;Cliente 267;36.0;₡367.836,15;98271.35;4;  Alajuela ;Empresarial;Si;09/05/2023;Costa Rica;
CL-00255;Cliente 255;;₡757.418,73;35938.24;5;Cartago;Basico;Si;26/05/2025;Costa Rica;
CL-00231;Cliente 231;27.0;₡789.953,72;188411.85;6;Cartago;Basico;Si;16/07/2024;Costa Rica;
CL-00068;Cliente 68;73.0;₡1.469.138,67;148321.86;5;Puntarenas;Premium;Si;13/03/2024;Costa Rica;
CL-00208;Cliente 208;53.0;₡418.274,03;163944.27;5;Puntarenas;Premium;Si;18/08/2023;Costa Rica;
CL-00015;Cliente 15;60.0;₡690.743,87;285372.74;2;  Cartago ;Premium;No;27/06/2024;Costa Rica;
CL-00083;Cliente 83;55.0;₡508.858,96;127600.75;3;  N/A ;Premium;Si;08/02/2023;Costa Rica;
CL-00026;Cliente 26;73.0;₡1.059.188,23;46720.47;7;  Heredia ;Premium;Si;17/10/2024;Costa Rica;
CL-00084;Cliente 84;27.0;₡754.940,36;255280.86;5;Cartago;Basico;No;04/06/2023;Costa Rica;
CL-00074;sin dato;21.0;₡1.154.504,48;179975.86;4;Puntarenas;Basico;Si;07/09/2024;Costa Rica;
CL-00186;Cliente 186;39.0;₡942.906,74;110194.54;3;Cartago;Empresarial;Si;01/02/2023;Costa Rica;
CL-00127;Cliente 127;33.0;₡868.103,75;35892.29;7;  N/A ;Basico;Si;29/05/2025;Costa Rica;
CL-00032;Cliente 32;42.0;₡1.144.167,10;117069.41;4;Alajuela;Premium;No;28/01/2023;Costa Rica;
CL-00237;Cliente 237;32.0;₡653.562,44;56815.29;5;  Heredia ;Premium;Si;12/08/2023;Costa Rica;
CL-00085;Cliente 85;47.0;₡1.027.938,45;149374.59;5;  Alajuela ;Empresarial;Si;13/11/2023;Costa Rica;
CL-00202;Cliente 202;33.0;₡777.713,74;98531.53;3;San Jose;Basico;Si;29/08/2023;Costa Rica;
CL-00075;Cliente 75;45.0;₡417.536,89;151520.66;0;Heredia;Empresarial;Si;31/05/2024;Costa Rica;
CL-00144;Cliente 144;59.0;₡1.267.900,04;200181.99;5;Puntarenas;Basico;Si;18/09/2023;Costa Rica;
CL-00074;sin dato;21.0;₡1.154.504,48;179975.86;4;Puntarenas;Basico;Si;07/09/2024;Costa Rica;
CL-00006;Cliente 6;37.0;₡912.916,62;131133.96;4;N/A;Premium;No;12/07/2024;Costa Rica;
CL-00129;Cliente 129;26.0;₡709.552,54;111516.07;4;Puntarenas;Basico;Si;10/07/2024;Costa Rica;
CL-00123;Cliente 123;21.0;₡799.915,08;51575.89;4;  Heredia ;Basico;Si;10/01/2025;Costa Rica;
CL-00066;Cliente 66;41.0;₡607.780,70;110927.3;3;San Jose;Basico;Si;05/01/2023;Costa Rica;
CL-00251;Cliente 251;45.0;₡844.915,45;84404.44;1;Heredia;Basico;No;14/12/2023;Costa Rica;
CL-00276;Cliente 276;52.0;₡980.172,83;99077.53;4;Cartago;Basico;Si;18/11/2023;Costa Rica;
CL-00232;Cliente 232;31.0;₡614.286,61;151438.27;3;San Jose;Premium;No;23/01/2024;Costa Rica;
CL-00243;Cliente 243;51.0;₡1.025.735,45;45273.39;4;  Heredia ;Basico;Si;31/10/2024;Costa Rica;
CL-00115;Cliente 115;44.0;₡1.232.608,52;148608.47;6;Heredia;Basico;No;17/03/2023;Costa Rica;revisar
CL-00080;Cliente 80;37.0;₡1.093.230,49;99083.65;5;Cartago;Basico;Si;24/05/2024;Costa Rica;
CL-00249;Cliente 249;28.0;₡411.646,29;211473.68;4;Cartago;Premium;Si;19/05/2023;Costa Rica;
CL-00059;Cliente 59;25.0;₡439.042,08;52701.3;2;San Jose;Basico;Si;08/11/2023;Costa Rica;
CL-00062;Cliente 62;59.0;₡1.191.393,72;25272.18;3;San Jose;Basico;Si;24/11/2024;Costa Rica;
CL-00245;Cliente 245;37.0;₡886.599,59;28582.27;0;Puntarenas;Premium;Si;28/09/2023;Costa Rica;
CL-00188;Cliente 188;61.0;₡665.656,25;65950.19;3;Heredia;Premium;No;30/03/2023;Costa Rica;
CL-00128;Cliente 128;47.0;₡1.142.734,79;128298.8;4;  Heredia ;Premium;No;05/11/2023;Costa Rica;
CL-00005;Cliente 5;21.0;₡693.708,30;148396.75;2;Puntarenas;Empresarial;Si;05/11/2023;Costa Rica;
CL-00169;Cliente 169;58.0;₡1.401.338,32;310656.83;2;Puntarenas;Basico;Si;31/08/2024;Costa Rica;
CL-00177;Cliente 177;22.0;₡1.129.824,91;123071.18;3;  Alajuela ;Premium;Si;24/03/2024;Costa Rica;
CL-00167;Cliente 167;30.0;₡723.920,10;;5;San Jose;Basico;Si;23/04/2024;Costa Rica;
CL-00107;Cliente 107;38.0;₡968.969,35;231010.1;4;  Cartago ;Basico;Si;18/08/2024;Costa Rica;
CL-00265;Cliente 265;33.0;₡584.486,52;;2;Cartago;Basico;Si;25/02/2024;Costa Rica;
CL-00147;Cliente 147;44.0;₡1.031.389,39;147436.86;1;  Alajuela ;Premium;Si;31/08/2024;Costa Rica;
CL-00269;Cliente 269;62.0;₡861.525,38;263632.62;4;  Cartago ;Basico;No;21/03/2024;Costa Rica;
CL-00071;Cliente 71;54.0;₡1.131.655,53;68811.74;3;  Heredia ;Basico;Si;29/01/2023;Costa Rica;
CL-00007;Cliente 7;41.0;₡526.604,53;81144.05;2;  Alajuela ;Basico;No;14/02/2025;Costa Rica;
CL-00116;Cliente 116;72.0;₡855.808,40;152724.52;5;  Alajuela ;Basico;Si;23/10/2023;Costa Rica;
CL-00162;Cliente 162;35.0;₡1.115.716,24;191068.16;7;Cartago;Premium;Si;17/08/2024;Costa Rica;
CL-00124;Cliente 124;47.0;₡781.058,82;90432.7;3;Alajuela;Basico;No;16/10/2024;Costa Rica;
CL-00103;Cliente 103;;₡811.927,26;39364.7;2;  San Jose ;Basico;Si;01/10/2023;Costa Rica;
CL-00247;Cliente 247;;₡844.951,14;64222.9;3;N/A;Premium;Si;10/04/2025;Costa Rica;
CL-00038;Cliente 38;74.0;₡1.183.687,15;125057.46;7;San Jose;Basico;Si;11/03/2024;Costa Rica;
CL-00004;Cliente 4;72.0;₡741.315,33;144726.72;4;  N/A ;Premium;Si;06/10/2024;Costa Rica;
CL-00152;Cliente 152;24.0;₡1.121.021,80;78609.6;4;  Puntarenas ;Basico;Si;17/03/2024;Costa Rica;
CL-00079;Cliente 79;22.0;₡940.034,17;213986.98;4;  Heredia ;Premium;No;28/08/2024;Costa Rica;
CL-00163;Cliente 163;23.0;₡997.643,34;173915.26;3;  Puntarenas ;Empresarial;Si;07/06/2024;Costa Rica;
CL-00201;Cliente 201;56.0;₡1.082.598,70;60960.96;3;  Heredia ;Basico;Si;24/12/2024;Costa Rica;
CL-00143;Cliente 143;70.0;₡846.101,66;77403.47;4;San Jose;Basico;Si;07/05/2023;Costa Rica;
CL-00065;Cliente 65;25.0;₡1.174.722,03;95272.3;4;Heredia;Premium;Si;11/11/2023;Costa Rica;
CL-00216;Cliente 216;58.0;₡656.146,81;108879.36;4;  San Jose ;Basico;Si;09/02/2023;Costa Rica;
CL-00051;Cliente 51;19.0;₡452.607,60;64916.52;0;N/A;Premium;Si;23/12/2024;Costa Rica;
CL-00024;Cliente 24;18.0;₡311.905,38;119612.42;4;  Alajuela ;Premium;Si;13/01/2025;Costa Rica;
CL-00044;Cliente 44;27.0;₡907.692,31;127262.45;0;Heredia;Empresarial;Si;02/06/2023;Costa Rica;
CL-00102;Cliente 102;;₡1.065.567,03;168203.85;4;  Alajuela ;Empresarial;Si;04/04/2025;Costa Rica;
CL-00025;Cliente 25;29.0;₡791.843,10;204034.82;4;  Alajuela ;Basico;Si;11/05/2023;Costa Rica;
CL-00141;Cliente 141;23.0;₡699.027,40;56904.24;4;Heredia;Basico;Si;10/03/2024;Costa Rica;
CL-00280;Cliente 280;39.0;₡638.776,85;78282.05;10;San Jose;Premium;No;24/04/2023;Costa Rica;
CL-00276;Cliente 276;52.0;₡980.172,83;99077.53;4;Cartago;Basico;Si;18/11/2023;Costa Rica;
CL-00283;Cliente 283;29.0;₡1.148.062,87;165902.23;4;Puntarenas;Basico;Si;07/06/2023;Costa Rica;
CL-00296;Cliente 296;66.0;₡629.125,21;83118.42;6;  Puntarenas ;Premium;No;28/05/2024;Costa Rica;
CL-00221;Cliente 221;59.0;₡1.347.868,38;243780.98;5;  Puntarenas ;Basico;No;01/05/2024;Costa Rica;
CL-00266;Cliente 266;18.0;₡763.852,63;119075.03;3;Cartago;Premium;Si;28/09/2024;Costa Rica;
CL-00218;Cliente 218;45.0;₡673.071,26;155928.27;1;  Alajuela ;Basico;No;21/05/2025;Costa Rica;
CL-00158;Cliente 158;67.0;₡823.280,61;100991.77;1;  Heredia ;Basico;Si;21/05/2025;Costa Rica;
CL-00041;Cliente 41;56.0;₡528.732,25;59968.28;3;Cartago;Premium;Si;01/05/2025;Costa Rica;
CL-00178;Cliente 178;45.0;₡805.519,89;250021.13;4;Cartago;Basico;Si;18/10/2023;Costa Rica;
CL-00046;Cliente 46;53.0;₡1.136.234,56;27544.71;4;Cartago;Premium;No;24/04/2023;Costa Rica;
CL-00211;Cliente 211;71.0;₡820.237,23;106626.62;5;Cartago;Basico;Si;03/09/2023;Costa Rica;
CL-00016;Cliente 16;44.0;₡513.411,28;8106.99;3;  Heredia ;Basico;Si;20/05/2024;Costa Rica;
CL-00137;Cliente 137;25.0;₡1.288.111,53;153265.25;2;Puntarenas;Empresarial;No;26/11/2023;Costa Rica;
CL-00260;Cliente 260;72.0;₡797.421,40;87361.12;4;Alajuela;Empresarial;Si;07/10/2023;Costa Rica;
CL-00154;Cliente 154;52.0;₡213.295,16;25450.62;6;Alajuela;Empresarial;No;04/12/2024;Costa Rica;
CL-00150;Cliente 150;52.0;₡722.261,68;208324.38;4;  Heredia ;Premium;Si;09/01/2025;Costa Rica;
CL-00252;Cliente 252;46.0;₡1.011.921,55;74959.79;2;Alajuela;Premium;Si;17/10/2024;Costa Rica;
CL-00248;Cliente 248;31.0;₡493.075,00;158498.66;2;Alajuela;Premium;Si;30/04/2023;Costa Rica;
CL-00181;Cliente 181;29.0;₡475.085,93;89868.83;6;  San Jose ;Premium;Si;23/09/2024;Costa Rica;
CL-00109;Cliente 109;33.0;₡1.193.594,78;97611.89;3;Puntarenas;Premium;Si;05/05/2025;Costa Rica;
CL-00104;Cliente 104;21.0;₡694.258,81;;1;Cartago;-;Si;11/03/2025;Costa Rica;
CL-00271;Cliente 271;18.0;₡1.312.744,95;72771.68;3;Alajuela;Premium;No;27/08/2024;Costa Rica;
CL-00182;Cliente 182;24.0;₡400.723,50;36397.55;5;  Heredia ;-;Si;08/01/2024;Costa Rica;
CL-00058;Cliente 58;46.0;₡293.858,24;46531.08;2;Cartago;Basico;Si;03/03/2023;Costa Rica;
CL-00277;Cliente 277;66.0;₡891.673,02;272974.7;5;Alajuela;Premium;Si;30/03/2025;Costa Rica;
CL-00119;Cliente 119;41.0;₡1.236.461,07;119049.84;7;Heredia;Basico;Si;23/02/2025;Costa Rica;
CL-00076;Cliente 76;51.0;₡446.911,43;111920.02;1;  San Jose ;Basico;Si;24/12/2024;Costa Rica;
CL-00195;Cliente 195;30.0;₡577.412,24;76839.02;8;Heredia;Basico;Si;28/08/2024;Costa Rica;
CL-00031;Cliente 31;74.0;₡1.211.884,66;86905.42;6;Puntarenas;Empresarial;Si;25/12/2023;Costa Rica;
CL-00131;Cliente 131;56.0;₡844.268,08;52438.13;4;  Alajuela ;Premium;Si;27/07/2023;Costa Rica;
CL-00291;Cliente 291;47.0;₡996.484,68;55929.25;1;San Jose;Premium;Si;17/11/2024;Costa Rica;
CL-00043;Cliente 43;64.0;₡604.875,93;42332.46;3;Puntarenas;Basico;Si;02/01/2024;Costa Rica;
CL-00262;Cliente 262;46.0;₡811.993,95;;5;San Jose;Premium;Si;14/08/2023;Costa Rica;
